i	j	Comp1			Comp2			Eij*		Vij		Kij		Gij*
1	2	Азот			Диоксид_углерода	1.02274		0.835058	0.982361	0.982746
1	3	Азот			Метан			0.97164		0.886106	1.00363		1
1	4	Азот			Этан			0.97012		0.816431	1.00796		1
1	5	Азот			Пропан			0.945939	0.915502	1		1
1	6	Азот			Н-Бутан			0.973384	0.993556	1		1
1	7	Азот			Изобутан		0.946914	1		1		1
1	8	Азот			Н-Пентан		0.94552		1		1		1
1	9	Азот			Изопентан		0.95934		1		1		1
1	15	Азот			Водород			1.08632		0.408838	1.03227		1
1	16	Азот			Кислород		1.021		1		1		1
1	17	Азот			Моноксид_углерода	1.00571		1		1		1
1	18	Азот			Вода			0.746954	1		1		1
1	19	Азот			Сероводород		0.902271	0.993476	0.942596	1
2	3	Диоксид_углерода	Метан			0.960644	0.963827	0.995933	0.807653
2	4	Диоксид_углерода	Этан			0.925053	0.96987		1.00851		0.370296
2	5	Диоксид_углерода	Пропан			0.960237	1		1		1
2	6	Диоксид_углерода	Н-Бутан			0.897362	1		1		1
2	7	Диоксид_углерода	Изобутан		0.906849	1		1		1
2	8	Диоксид_углерода	Н-Пентан		0.859764	1		1		1
2	9	Диоксид_углерода	Изопентан		0.726255	1		1		1
2	10	Диоксид_углерода	Н-Гексан		0.855134	1.066638	0.910183	1
2	11	Диоксид_углерода	Н-Гептан		0.831229	1.077634	0.895362	1
2	12	Диоксид_углерода	Н-Октан			0.80831		1.088178	0.881152	1
2	13	Диоксид_углерода	Н-Нонан			0.786323	1.098291	0.86752		1
2	14	Диоксид_углерода	Н-Декан			0.765171	1.108021	0.854406	1
2	15	Диоксид_углерода	Водород			1.28179		1		1		1
2	17	Диоксид_углерода	Моноксид_углерода	1.5		0.9		1		1
2	18	Диоксид_углерода	Вода			0.849408	1		1		1.67309
2	19	Диоксид_углерода	Сероводород		0.955052	1.04529		1.00779		1
3	5	Метан			Пропан			0.994635	0.990877	1.007619	1
3	6	Метан			Н-Бутан			0.989844	0.992291	0.997596	1
3	7	Метан			Изобутан		1.01953		1		1		1
3	8	Метан			Н-Пентан		0.999268	1.00367		1.002529	1
3	9	Метан			Изопентан		1.00235		1		1		1
3	10	Метан			Н-Гексан		1.107274	1.302576	0.982962	1
3	11	Метан			Н-Гептан		0.88088		1.191904	0.983565	1
3	12	Метан			Н-Октан			0.880973	1.205769	0.982707	1
3	13	Метан			Н-Нонан			0.881067	1.219634	0.981849	1
3	14	Метан			Н-Декан			0.881161	1.233498	0.980991	1
3	15	Метан			Водород			1.17052		1.15639		1.02326		1.95731
3	17	Метан			Моноксид_углерода	0.990126	1		1		1
3	18	Метан			Вода			0.708218	1		1		1
3	19	Метан			Сероводород		0.931484	0.736833	1.00008		1
4	5	Этан			Пропан			1.02256		1.065173	0.986893	1
4	6	Этан			Н-Бутан			1.01306		1.25		1		1
4	7	Этан			Изобутан		1		1250		1		1
4	8	Этан			Н-Пентан		1.00532		1.25		1		1
4	9	Этан			Изопентан		1		1.25		1		1
4	15	Этан			Водород			1.16446		1.61666		1.02034		1
4	18	Этан			Вода			0.693168	1		1		1
4	19	Этан			Сероводород		0.946871	0.971926	0.999969	1
5	6	Пропан			Н-Бутан			1.0049		1		1		1
5	15	Пропан			Водород			1.034787	1		1		1
6	15	Н-Бутан			Водород			1.3		1		1		1
7	15	Изобутан		Водород			1.3		1		1		1
10	19	Н-Гексан		Сероводород		1.008692	1.028973	0.96813		1
11	19	Н-Гептан		Сероводород		1.010126	1.033754	0.96287		1
12	19	Н-Октан			Сероводород		1.011501	1.038338	0.957828	1
13	19	Н-Нонан			Сероводород		1.012821	1.042735	0.952441	1
14	19	Н-Декан			Сероводород		1.014089	1.046966	0.948338	1
15	17	Водород			Моноксид_углерода	1.1		1		1		1
